Variable;Valeur
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx312_ErrorBrakeThermal;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx313_ErrorMecaB;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx314_ErrorMecaA;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx315_ErrorLimitSwitch;FALSE
GVL_Troubleshooting.TranslationPontM3.Safety_300.Idx316_ErrorSensorIncoherent;FALSE
GVL_Troubleshooting.TranslationPontM3.Control_400.Idx401_MotionAllowed;FALSE
GVL_Troubleshooting.TranslationPontM3.Control_400.Idx402_SetpointFreq_Hz;REAL#0
GVL_Troubleshooting.TranslationPontM3.Control_400.Idx403_DriveControlWord;WORD#0
GVL_Troubleshooting.TranslationPontM3.Control_400.Idx404_FinalInterlockState;E_State.READY
GVL_Troubleshooting.TranslationPontM3.Control_400.Idx405_FinalInterlockReason;E_TranslationFinalInterlockReason.NONE
GVL_Troubleshooting.TranslationPontM3.Control_400.Idx406_BrakeCommandOpenConfirmed;FALSE
GVL_Troubleshooting.TranslationPontM3.Control_400.Idx407_BrakeTimeoutElapsed;TIME#0ms
GVL_Troubleshooting.TranslationPontM3.Outputs_500.Idx501_CmdDriveControlWord;WORD#0
GVL_Troubleshooting.TranslationPontM3.Outputs_500.Idx502_CmdDriveFreq_Hz;UINT#0
GVL_Troubleshooting.TranslationPontM3.Outputs_500.Idx503_CmdBrakeRelease_RQ;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx101_EnableDiveSearch;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx102_EnableExtractionSequence;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx103_EnableDumpAtTremie;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx201_DiveReady;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx202_DiveBusy;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx203_DiveDone;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx204_DiveState;E_DiveSearchState.WAIT_PRECONDITIONS
GVL_Troubleshooting.AssistanceDragage.Idx205_DiveError;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx206_DiveErrorId;WORD#0
GVL_Troubleshooting.AssistanceDragage.Idx207_BottomTouchConfirmed;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx208_DiveStepAtFault;E_DiveSearchState.WAIT_PRECONDITIONS
GVL_Troubleshooting.AssistanceDragage.Idx301_ExtractionReady;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx302_ExtractionBusy;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx303_ExtractionDone;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx304_ExtractionState;E_ExtractionSequenceState.WAIT_BOTTOM_CONFIRMATION
GVL_Troubleshooting.AssistanceDragage.Idx305_ExtractionError;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx306_ExtractionErrorId;WORD#0
GVL_Troubleshooting.AssistanceDragage.Idx307_ExtractionStepAtFault;E_ExtractionSequenceState.WAIT_BOTTOM_CONFIRMATION
GVL_Troubleshooting.AssistanceDragage.Idx401_OperatorActionId;WORD#0
GVL_Troubleshooting.AssistanceDragage.Idx501_DumpAtTremieArmed;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx502_DumpAtTremieAssistActive;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx503_DumpAtTremieAtTremie;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx504_DumpAtTremieBucketOpenArmed;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx505_DumpAtTremieDescentLocked;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx601_BypassDiveActive;FALSE
GVL_Troubleshooting.AssistanceDragage.Idx602_BypassKoboldBottomTouched;FALSE
GVL_Troubleshooting.CycleSemiAuto.Idx101_ModeSemiAutoActive;FALSE
GVL_Troubleshooting.CycleSemiAuto.Idx102_PowerAndSafetyOk;FALSE
GVL_Troubleshooting.CycleSemiAuto.Idx103_HeartbeatIhmOk;TRUE
GVL_Troubleshooting.CycleSemiAuto.Idx104_DeadmanArmed;FALSE
GVL_Troubleshooting.CycleSemiAuto.Idx105_MancheDeflechi;FALSE
GVL_Troubleshooting.CycleSemiAuto.Idx106_HomedM1M2;FALSE
GVL_Troubleshooting.CycleSemiAuto.Idx107_StartCycleRequest;FALSE
