fichier,ligne,index,libelle,garde,est_formateur
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1128,AlarmCount,'[HISTO] [M1] ErrorID:08 - MecaA - deplacement sans commande',(HistoM1 AND 16#0080) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1131,AlarmCount,'[HISTO] [M1] ErrorID:09 - MecaB - arret non confirme apres stop',(HistoM1 AND 16#0100) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1134,AlarmCount,'[HISTO] [M1] ErrorID:10 - MecaC - glissement pendant benne figee',(HistoM1 AND 16#0200) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1137,AlarmCount,'[HISTO] [M1] ErrorID:11 - surchauffe frein',(HistoM1 AND 16#0400) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1140,AlarmCount,'[HISTO] [M1] ErrorID:12 - MecaD - non-arret au capteur haut',(HistoM1 AND 16#0800) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1143,AlarmCount,'[HISTO] [M1] ErrorID:13 - MecaE - ecart synchro M1/M2 critique',(HistoM1 AND 16#1000) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1146,AlarmCount,'[HISTO] [M1] ErrorID:15 - sens oppose',(HistoM1 AND 16#4000) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1149,AlarmCount,'[HISTO] [M1] ErrorID:16 - absence mouvement',(HistoM1 AND 16#8000) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1154,AlarmCount,'[HISTO] [M2] ErrorID:01 - perte com operateur',(HistoM2 AND 16#0001) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1157,AlarmCount,'[HISTO] [M2] ErrorID:02 - perte codeur',(HistoM2 AND 16#0002) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
