nom,tier,type,fichier,ligne,bloc,pou,declaration
Idx316_ErrorSensorIncoherent,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_Chain_Translation_Safety.st,19,STRUCT,,Idx316_ErrorSensorIncoherent: BOOL;
Idx317_ErrorId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_Chain_Translation_Safety.st,20,STRUCT,,Idx317_ErrorId           : WORD;
Error,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,8,STRUCT,,Error             : BOOL;
ErrorId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,9,STRUCT,,ErrorId           : WORD;
LatchedId,T2(elargi),WORD,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,10,STRUCT,,LatchedId         : WORD;
ErrorOperatorComm,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,11,STRUCT,,ErrorOperatorComm : BOOL;
ErrorDriveComm,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,12,STRUCT,,ErrorDriveComm    : BOOL;
ErrorPhaseRotation,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,13,STRUCT,,ErrorPhaseRotation: BOOL;
ErrorBrakeThermal,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,14,STRUCT,,ErrorBrakeThermal : BOOL;
ErrorMecaB,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,15,STRUCT,,ErrorMecaB        : BOOL;
ErrorMecaA,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,16,STRUCT,,ErrorMecaA        : BOOL;
ErrorLimitSwitch,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,17,STRUCT,,ErrorLimitSwitch  : BOOL;
ErrorSensorIncoherent,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_SafetyTranslation.st,18,STRUCT,,ErrorSensorIncoherent : BOOL;
FinalInterlockError,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_TraceTranslation.st,32,STRUCT,,FinalInterlockError      : BOOL;
BlockReason,T2(elargi),E_TranslationTraceBlockReason,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_TraceTranslation.st,35,STRUCT,,BlockReason              : E_TranslationTraceBlockReason;
BlockReasonTimestamp,T2(elargi),UDINT,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_TraceTranslation.st,36,STRUCT,,BlockReasonTimestamp     : UDINT;
AxisBlockReason,T2(elargi),E_TranslationTraceBlockReason,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_TranslationState.st,10,STRUCT,,AxisBlockReason         : E_TranslationTraceBlockReason;
Error,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_TranslationState.st,14,STRUCT,,Error                   : BOOL;
ErrorId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_TranslationState.st,15,STRUCT,,ErrorId                 : WORD;
FinalInterlockError,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_TranslationState.st,28,STRUCT,,FinalInterlockError     : BOOL;
FinalInterlockErrorId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_TranslationState.st,29,STRUCT,,FinalInterlockErrorId   : WORD;
Idx204_Error,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ChainCycleSemiAuto.st,25,STRUCT,,Idx204_Error                     : BOOL;
Idx205_ErrorId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ChainCycleSemiAuto.st,26,STRUCT,,Idx205_ErrorId                   : WORD;
Idx217_FaultLatched,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ChainCycleSemiAuto.st,27,STRUCT,,Idx217_FaultLatched              : BOOL;
Idx218_FaultLatchedId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ChainCycleSemiAuto.st,28,STRUCT,,Idx218_FaultLatchedId            : WORD;
Idx208_StepAtError,T1(brief),E_AutoCycleStep,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ChainCycleSemiAuto.st,35,STRUCT,,Idx208_StepAtError               : E_AutoCycleStep;
Idx306_WinchSyncError,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ChainCycleSemiAuto.st,51,STRUCT,,Idx306_WinchSyncError            : BOOL;
Idx310_M1SpeedStepAtFault,T1(brief),INT,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ChainCycleSemiAuto.st,55,STRUCT,,Idx310_M1SpeedStepAtFault        : INT;
Idx311_M2SpeedStepAtFault,T1(brief),INT,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ChainCycleSemiAuto.st,56,STRUCT,,Idx311_M2SpeedStepAtFault        : INT;
BtnResumeAfterFault,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_CycleCmd.st,9,STRUCT,,BtnResumeAfterFault : BOOL;
Error,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_CycleState.st,9,STRUCT,,Error                  : BOOL;
ErrorId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_CycleState.st,10,STRUCT,,ErrorId                : WORD;
WinchSyncError,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_CycleState.st,19,STRUCT,,WinchSyncError         : BOOL;
CycleStepAtError,T1(brief),E_AutoCycleStep,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_CycleState.st,28,STRUCT,,CycleStepAtError       : E_AutoCycleStep;
ForceStepRejected,T2(elargi),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_CycleState.st,46,STRUCT,,ForceStepRejected      : BOOL;
ResumeAfterFaultAvailable,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_CycleState.st,48,STRUCT,,ResumeAfterFaultAvailable : BOOL;
BtnFaultReset,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ModesCmd.st,7,STRUCT,,BtnFaultReset      : BOOL;
ModesFault,T1(brief),ST_Fault,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ModesCycleInterPrg.st,21,STRUCT,,ModesFault    : ST_Fault;
AnyFaultActive,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_ModesState.st,7,STRUCT,,AnyFaultActive        : BOOL;
Fault,T1(brief),ST_Fault,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_SequencePublicState.st,11,STRUCT,,Fault               : ST_Fault;
StepAtFault,T1(brief),E_AutoCycleStep,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_SequencePublicState.st,14,STRUCT,,StepAtFault         : E_AutoCycleStep;
ForceStepRejected,T2(elargi),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_SequencePublicState.st,35,STRUCT,,ForceStepRejected   : BOOL;
ResumeAfterFaultAvailable,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_SequencePublicState.st,41,STRUCT,,ResumeAfterFaultAvailable : BOOL;
M1SpeedStepAtFault,T1(brief),INT,CODE/J_SUPERVISION/_TYPES/3_CYCLE_ET_MODES/ST_SequencePublicState.st,42,STRUCT,,M1SpeedStepAtFault  : INT;
