nom,fichier,ligne,role,contexte
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,575,LECTURE,Status.Diag.Error                := Status.Fault.Error;
Error,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,575,ECRITURE,Status.Diag.Error                := Status.Fault.Error;
Fault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,575,LECTURE,Status.Diag.Error                := Status.Fault.Error;
Error,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,575,LECTURE,Status.Diag.Error                := Status.Fault.Error;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,576,LECTURE,Status.Diag.ErrorId              := Status.Fault.ErrorId;
ErrorId,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,576,ECRITURE,Status.Diag.ErrorId              := Status.Fault.ErrorId;
Fault,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,576,LECTURE,Status.Diag.ErrorId              := Status.Fault.ErrorId;
ErrorId,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,576,LECTURE,Status.Diag.ErrorId              := Status.Fault.ErrorId;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,577,LECTURE,Status.Diag.RedundancyTestFailed := RedundancyTestFailed;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,578,LECTURE,Status.Diag.ArmFailed            := EmergencyArmingFailed;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,579,LECTURE,Status.Diag.WasArmed             := WasArmed;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,580,LECTURE,Status.Diag.LockoutActive        := EmergencyArmingLockoutActive;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,581,LECTURE,Status.Diag.LastAbortStep        := LastAbortStep;
Diag,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,582,LECTURE,Status.Diag.LastAbortCause       := LastAbortCause;
CST_ABORT_INVALID_STEP,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,620,LECTURE,ELSIF LastAbortCause = INT_TO_WORD(CST_ABORT_INVALID_STEP) THEN
CST_ABORT_INVALID_STEP,CODE/B_AU_SECURITE/GVL_Safety_Emergency.st,38,LECTURE,CST_ABORT_INVALID_STEP       : INT := 256;
DiagnosticsStable,CODE/C_DIAG_RESEAUX/FB_AutoResetTransientDiag.st,20,LECTURE,DiagnosticsStable        : BOOL;
DiagnosticsStable,CODE/C_DIAG_RESEAUX/FB_AutoResetTransientDiag.st,131,LECTURE,"IN := (State = 1 OR State = 2) AND SafeCommon AND DiagnosticsStable,"
Error,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,52,ECRITURE_FALSE,DeviceJoystick.Error := FALSE;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,53,ECRITURE,DeviceJoystick.ErrorId := 16#0000;
Error,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,57,ECRITURE_FALSE,DeviceCanOpenMaster.Error := FALSE;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,58,ECRITURE,DeviceCanOpenMaster.ErrorId := 16#0000;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,81,ECRITURE,DeviceJoystick.ErrorId := DeviceJoystick.ErrorId AND 16#FFFC;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,81,LECTURE,DeviceJoystick.ErrorId := DeviceJoystick.ErrorId AND 16#FFFC;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,87,ECRITURE,DeviceJoystick.ErrorId := 16#0000;
StateAtError,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,88,ECRITURE,DeviceJoystick.StateAtError := E_Diag_State.DISABLED;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,97,ECRITURE,DeviceJoystick.ErrorId := DeviceJoystick.ErrorId OR 16#0001;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,97,LECTURE,DeviceJoystick.ErrorId := DeviceJoystick.ErrorId OR 16#0001;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,100,ECRITURE,DeviceJoystick.ErrorId := DeviceJoystick.ErrorId AND 16#FFFE;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,100,LECTURE,DeviceJoystick.ErrorId := DeviceJoystick.ErrorId AND 16#FFFE;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,105,ECRITURE,DeviceJoystick.ErrorId := DeviceJoystick.ErrorId OR 16#0002;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,105,LECTURE,DeviceJoystick.ErrorId := DeviceJoystick.ErrorId OR 16#0002;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,109,ECRITURE,DeviceJoystick.ErrorId := DeviceJoystick.ErrorId AND 16#FFFD;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,109,LECTURE,DeviceJoystick.ErrorId := DeviceJoystick.ErrorId AND 16#FFFD;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,115,LECTURE,IF DeviceJoystick.ErrorId <> 0 THEN
Error,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,128,ECRITURE,DeviceJoystick.Error := (DeviceJoystick.ErrorId <> 0);
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,128,LECTURE,DeviceJoystick.Error := (DeviceJoystick.ErrorId <> 0);
Error,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,132,ECRITURE,DeviceCanOpenMaster.Error := NOT CANbusOnlineEff;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,135,ECRITURE,DeviceCanOpenMaster.ErrorId := 16#0001;
StateAtError,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,137,ECRITURE,IF DeviceCanOpenMaster.StateAtError = E_Diag_State.DISABLED THEN
StateAtError,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,138,ECRITURE,DeviceCanOpenMaster.StateAtError := E_Diag_State.INIT;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,141,ECRITURE,DeviceCanOpenMaster.ErrorId := 16#0000;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st,144,ECRITURE,DeviceCanOpenMaster.ErrorId := 16#0000;
Error,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,74,ECRITURE_FALSE,DeviceVariateur.Error := FALSE;
Error,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,75,ECRITURE_FALSE,DeviceEncoderM1.Error := FALSE;
Error,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,76,ECRITURE_FALSE,DeviceEncoderM2.Error := FALSE;
Error,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,80,ECRITURE_FALSE,DeviceEthercatMaster.Error := FALSE;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,81,ECRITURE,DeviceEthercatMaster.ErrorId := 16#0000;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,109,ECRITURE,IF VariateurOnlineEff THEN DeviceVariateur.ErrorId := DeviceVariateur.ErrorId AND 16#FFEF; END_IF;
ErrorId,CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st,109,LECTURE,IF VariateurOnlineEff THEN DeviceVariateur.ErrorId := DeviceVariateur.ErrorId AND 16#FFEF; END_IF;
