//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name
//Important: change only first, third or fourth column in Excel or add variable name before first
;Input;;Universal digital input;%IB0;Local_Digital_IO
;Bit11;;Preset Trigger Command;%QX17.3;COD2_CODEUR
;Bit12;;Preset Trigger Command;%QX17.4;COD2_CODEUR
;Bit13;;Preset Trigger Command;%QX17.5;COD2_CODEUR
;Bit14;;Preset Trigger Command;%QX17.6;COD2_CODEUR
;Bit15;;Preset Trigger Command;%QX17.7;COD2_CODEUR
COD2_CodeSeqTrigCmd;Code Sequence Trigger Command;;Code Sequence Trigger Command;%QW9;COD2_CODEUR
;Bit0@1;;Code Sequence Trigger Command;%QX18.0;COD2_CODEUR
;Bit1@1;;Code Sequence Trigger Command;%QX18.1;COD2_CODEUR
;Bit2@1;;Code Sequence Trigger Command;%QX18.2;COD2_CODEUR
;Bit3@1;;Code Sequence Trigger Command;%QX18.3;COD2_CODEUR
;Bit4@1;;Code Sequence Trigger Command;%QX18.4;COD2_CODEUR
;Bit5@1;;Code Sequence Trigger Command;%QX18.5;COD2_CODEUR
;Bit6@1;;Code Sequence Trigger Command;%QX18.6;COD2_CODEUR
;Bit7@1;;Code Sequence Trigger Command;%QX18.7;COD2_CODEUR
;Bit8@1;;Code Sequence Trigger Command;%QX19.0;COD2_CODEUR
;Bit9@1;;Code Sequence Trigger Command;%QX19.1;COD2_CODEUR
;Bit10@1;;Code Sequence Trigger Command;%QX19.2;COD2_CODEUR
;Bit11@1;;Code Sequence Trigger Command;%QX19.3;COD2_CODEUR
;Bit12@1;;Code Sequence Trigger Command;%QX19.4;COD2_CODEUR
;Bit13@1;;Code Sequence Trigger Command;%QX19.5;COD2_CODEUR
;Bit14@1;;Code Sequence Trigger Command;%QX19.6;COD2_CODEUR
;Bit15@1;;Code Sequence Trigger Command;%QX19.7;COD2_CODEUR
COD2_PresetValue;Preset Value;;Preset Value;%QD5;COD2_CODEUR
;Bit0@2;;Preset Value;%QX20.0;COD2_CODEUR
;Bit1@2;;Preset Value;%QX20.1;COD2_CODEUR
;Bit2@2;;Preset Value;%QX20.2;COD2_CODEUR
;Bit3@2;;Preset Value;%QX20.3;COD2_CODEUR
;Bit4@2;;Preset Value;%QX20.4;COD2_CODEUR
;Bit5@2;;Preset Value;%QX20.5;COD2_CODEUR
;Bit6@2;;Preset Value;%QX20.6;COD2_CODEUR
;Bit7@2;;Preset Value;%QX20.7;COD2_CODEUR
;Bit8@2;;Preset Value;%QX21.0;COD2_CODEUR
;Bit9@2;;Preset Value;%QX21.1;COD2_CODEUR
;Bit10@2;;Preset Value;%QX21.2;COD2_CODEUR
;Bit11@2;;Preset Value;%QX21.3;COD2_CODEUR
;Bit12@2;;Preset Value;%QX21.4;COD2_CODEUR
;Bit13@2;;Preset Value;%QX21.5;COD2_CODEUR
;Bit14@2;;Preset Value;%QX21.6;COD2_CODEUR
;Bit15@2;;Preset Value;%QX21.7;COD2_CODEUR
;Bit16;;Preset Value;%QX22.0;COD2_CODEUR
;Bit17;;Preset Value;%QX22.1;COD2_CODEUR
;Bit18;;Preset Value;%QX22.2;COD2_CODEUR
;Bit19;;Preset Value;%QX22.3;COD2_CODEUR
;Bit20;;Preset Value;%QX22.4;COD2_CODEUR
;Bit21;;Preset Value;%QX22.5;COD2_CODEUR
;Bit22;;Preset Value;%QX22.6;COD2_CODEUR
;Bit23;;Preset Value;%QX22.7;COD2_CODEUR
;Bit24;;Preset Value;%QX23.0;COD2_CODEUR
;Bit25;;Preset Value;%QX23.1;COD2_CODEUR
;Bit26;;Preset Value;%QX23.2;COD2_CODEUR
