Timestamp_ms;M3_PosTremie_DI;M3_PosPVP2_DI;M3_PosPV_DI;M3_PosP1_DI;M3_PosMaintenance_DI;M3_BrakeIsOpen_DI;M3_ActualFrequencyHz;M3_StatusWord;M3_SetpointFrequencyHz;M3_CommandWord;M3_ThermalOK_DI;TranslationM3.Safety.Error;TranslationM3.Safety.ErrorId;TranslationM3.State.Error;TranslationM3.State.ErrorId
10565;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
10654;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
10754;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
10854;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
10956;0;1;1;1;1;0;0;129;0;0;1;0;0;0;0
11052;0;1;1;1;1;0;0;129;0;0;1;0;0;0;0
11154;0;1;1;1;1;0;0;129;0;0;1;0;0;0;0
11256;0;1;1;1;1;0;0;129;0;0;1;0;0;0;0
11357;0;1;1;1;1;0;0;129;0;0;1;0;0;0;0
11458;0;1;1;1;1;0;0;129;0;0;1;0;0;0;0
11558;0;1;1;1;1;1;0;139;618;2;1;0;0;0;0
11652;0;1;1;1;1;1;45;139;800;2;1;0;0;0;0
11753;0;1;1;1;1;1;266;139;1000;2;1;0;0;0;0
11853;0;1;1;1;1;1;542;139;1200;2;1;0;0;0;0
11952;0;1;1;1;1;1;878;137;1400;2;1;0;0;0;0
12037;0;1;1;1;1;1;1123;139;1578;2;1;0;0;0;0
12152;0;1;1;1;1;1;1421;139;1800;2;1;0;0;0;0
12237;1;1;1;1;1;1;1629;139;1978;2;1;0;0;0;0
12354;1;1;1;1;1;1;1863;139;2200;2;1;0;0;0;0
12437;0;1;1;1;1;1;2085;139;2378;2;1;0;0;0;0
12553;0;1;1;1;1;1;2298;139;2600;2;1;0;0;0;0
12665;0;1;1;1;1;1;2510;139;2820;2;1;0;0;0;0
12763;0;1;1;1;1;1;2721;139;3018;2;1;0;0;0;0
12868;0;1;1;1;1;1;2933;139;3238;2;1;0;0;0;0
12954;0;1;1;1;1;1;3103;139;3398;2;1;0;0;0;0
13068;0;1;1;1;1;1;3354;139;3640;2;1;0;0;0;0
13169;0;1;1;1;1;1;3521;139;3840;2;1;0;0;0;0
13254;0;1;1;1;1;1;3689;139;3998;2;1;0;0;0;0
13352;0;1;1;1;1;1;3896;139;4000;2;1;0;0;0;0
13454;0;1;1;1;1;1;3999;137;4000;2;1;0;0;0;0
13553;0;1;1;1;1;1;4000;137;4000;2;1;0;0;0;0
13653;0;1;1;1;1;1;4000;137;4000;2;1;0;0;0;0
13753;0;1;1;1;1;1;4000;137;4000;2;1;0;0;0;0
13854;0;1;1;1;1;1;4000;137;4000;2;1;0;0;0;0
13954;0;1;1;1;1;1;4000;137;4000;2;1;0;0;0;0
14054;0;1;1;1;1;1;3999;137;4000;2;1;0;0;0;0
14155;0;1;1;1;1;1;3999;139;3896;2;1;0;0;0;0
14253;0;1;1;1;1;1;3975;141;3782;2;1;0;0;0;0
14354;0;1;1;1;1;1;3840;141;3774;2;1;0;0;0;0
14458;0;1;1;1;1;1;3768;141;3499;2;1;0;0;0;0
14566;0;1;1;1;1;1;3626;141;3249;2;1;0;0;0;0
14669;0;1;1;1;1;1;3398;141;0;0;1;0;0;0;0
14764;0;1;1;1;1;1;3197;141;0;0;1;0;0;0;0
14864;0;1;0;1;1;1;2932;141;0;0;1;0;0;0;0
14965;0;1;1;1;1;1;2706;141;0;0;1;0;0;0;0
15064;0;1;0;1;1;1;2466;141;0;0;1;0;0;0;0
